chose_plan,taxrate1,taxrate2,taxrate3,taxrate4,taxrate5,taxrate6,taxrev,inequality_aversion,taxes_harm_economy,partyid,ID,weight
1,<10k: 5%,10-35k: 25%,35-85k: 35%,85-175k: 25%,175-375k: 15%,>375k: 5%,95-105%,0,1,Republican,177191531,6.828660011291504
0,<10k: 0%,10-35k: 35%,35-85k: 5%,85-175k: 15%,175-375k: 5%,>375k: 45%,105-125%,0,1,Republican,177191531,6.828660011291504
1,<10k: 15%,10-35k: 25%,35-85k: 5%,85-175k: 25%,175-375k: 25%,>375k: 25%,95-105%,0,1,Republican,177191531,6.828660011291504
0,<10k: 15%,10-35k: 15%,35-85k: 15%,85-175k: 15%,175-375k: 35%,>375k: 5%,75-95%,0,1,Republican,177191531,6.828660011291504
1,<10k: 25%,10-35k: 15%,35-85k: 15%,85-175k: 35%,175-375k: 35%,>375k: 55%,105-125%,0,1,Republican,177191531,6.828660011291504
0,<10k: 25%,10-35k: 35%,35-85k: 35%,85-175k: 5%,175-375k: 25%,>375k: 5%,>125%,0,1,Republican,177191531,6.828660011291504
1,<10k: 15%,10-35k: 35%,35-85k: 35%,85-175k: 15%,175-375k: 25%,>375k: 45%,>125%,0,1,Republican,177191531,6.828660011291504
0,<10k: 25%,10-35k: 35%,35-85k: 5%,85-175k: 25%,175-375k: 25%,>375k: 55%,>125%,0,1,Republican,177191531,6.828660011291504
1,<10k: 5%,10-35k: 25%,35-85k: 5%,85-175k: 25%,175-375k: 15%,>375k: 15%,75-95%,0,1,Republican,177191531,6.828660011291504
0,<10k: 25%,10-35k: 25%,35-85k: 35%,85-175k: 15%,175-375k: 5%,>375k: 25%,>125%,0,1,Republican,177191531,6.828660011291504
0,<10k: 25%,10-35k: 35%,35-85k: 35%,85-175k: 5%,175-375k: 35%,>375k: 45%,>125%,0,1,Republican,177191531,6.828660011291504
1,<10k: 15%,10-35k: 25%,35-85k: 5%,85-175k: 35%,175-375k: 5%,>375k: 5%,75-95%,0,1,Republican,177191531,6.828660011291504
1,<10k: 0%,10-35k: 35%,35-85k: 5%,85-175k: 25%,175-375k: 5%,>375k: 35%,95-105%,0,1,Republican,177191531,6.828660011291504
0,<10k: 0%,10-35k: 5%,35-85k: 35%,85-175k: 15%,175-375k: 5%,>375k: 45%,<75%,0,1,Republican,177191531,6.828660011291504
0,<10k: 15%,10-35k: 5%,35-85k: 35%,85-175k: 35%,175-375k: 5%,>375k: 55%,95-105%,0,1,Republican,177191531,6.828660011291504
1,<10k: 25%,10-35k: 15%,35-85k: 5%,85-175k: 35%,175-375k: 45%,>375k: 25%,95-105%,0,1,Republican,177191531,6.828660011291504
0,<10k: 25%,10-35k: 5%,35-85k: 35%,85-175k: 35%,175-375k: 15%,>375k: 5%,75-95%,1,0,Republican,205623527,0.5034869909286499
1,<10k: 15%,10-35k: 25%,35-85k: 35%,85-175k: 35%,175-375k: 45%,>375k: 25%,>125%,1,0,Republican,205623527,0.5034869909286499
0,<10k: 25%,10-35k: 25%,35-85k: 35%,85-175k: 35%,175-375k: 15%,>375k: 5%,>125%,1,0,Republican,205623527,0.5034869909286499
1,<10k: 0%,10-35k: 5%,35-85k: 35%,85-175k: 25%,175-375k: 25%,>375k: 45%,75-95%,1,0,Republican,205623527,0.5034869909286499
0,<10k: 25%,10-35k: 25%,35-85k: 25%,85-175k: 25%,175-375k: 25%,>375k: 15%,105-125%,1,0,Republican,205623527,0.5034869909286499
1,<10k: 5%,10-35k: 5%,35-85k: 15%,85-175k: 15%,175-375k: 25%,>375k: 25%,<75%,1,0,Republican,205623527,0.5034869909286499
1,<10k: 5%,10-35k: 25%,35-85k: 25%,85-175k: 15%,175-375k: 25%,>375k: 35%,105-125%,1,0,Republican,205623527,0.5034869909286499
0,<10k: 0%,10-35k: 35%,35-85k: 25%,85-175k: 15%,175-375k: 5%,>375k: 25%,105-125%,1,0,Republican,205623527,0.5034869909286499
