year,municipality,township,perfecture,treated_municipalities,treatment_year,gdvotes,valid_votes,syriza_votes,pasok_votes,turnout
2012,,,Κέρκυρας,0,0,4.599757235034818,15653,2576,2631,0.6765061803094476
2013,,,Κέρκυρας,0,0,4.441395248068174,13847,3247,2272,0.6661695371884923
2015,,,Κέρκυρας,0,0,4.750421991801302,16588,5313,1020,0.6990602216696868
2016,,,Κέρκυρας,0,1,4.502603994989782,15169,4664,1227,0.6068328199383926
2012,Αίγινας,Αίγινας,Α' Πειραιώς,0,0,7.982288176160843,8356,1226,834,0.6264807317438896
2013,Αίγινας,Αίγινας,Α' Πειραιώς,0,0,7.277167277167278,8190,2033,812,0.6140350877192983
2015,Αίγινας,Αίγινας,Α' Πειραιώς,0,0,6.3633000369959305,8109,2560,364,0.616138591292455
2016,Αίγινας,Αίγινας,Α' Πειραιώς,0,1,7.6177895200352275,6813,2267,348,0.5197589258468112
2012,Αγίου Βασιλείου,Λάμπης,Ρεθύμνης,0,0,2.5829175227472847,6814,1148,1332,0.6907948094079481
2013,Αγίου Βασιλείου,Λάμπης,Ρεθύμνης,0,0,4.284398034398034,6512,1969,1468,0.6599108228617754
2015,Αγίου Βασιλείου,Λάμπης,Ρεθύμνης,0,0,2.7149321266968327,6409,2750,362,0.6582109479305741
2016,Αγίου Βασιλείου,Λάμπης,Ρεθύμνης,0,1,3.6940686784599377,5766,2248,560,0.5995632733700739
2012,Αγίου Ευστρατίου,Αγίου Ευστρατίου,Λέσβου,0,0,4.954954954954955,222,23,15,0.23717948717948717
2013,Αγίου Ευστρατίου,Αγίου Ευστρατίου,Λέσβου,0,0,4.761904761904762,189,32,17,0.2017075773745998
2015,Αγίου Ευστρατίου,Αγίου Ευστρατίου,Λέσβου,0,0,4.878048780487805,164,32,9,0.18700114025085518
2016,Αγίου Ευστρατίου,Αγίου Ευστρατίου,Λέσβου,0,1,5.9880239520958085,167,66,9,0.18034557235421167
2012,Αγίου Νικολάου,Αγίου Νικολάου,Λασιθίου,0,0,2.865213882163035,14868,2387,2557,0.678099060476147
2013,Αγίου Νικολάου,Αγίου Νικολάου,Λασιθίου,0,0,3.049321236100689,14659,4322,2612,0.6683231512719978
2015,Αγίου Νικολάου,Αγίου Νικολάου,Λασιθίου,0,0,3.1590488590420067,14593,6341,802,0.6618740928882438
2016,Αγίου Νικολάου,Αγίου Νικολάου,Λασιθίου,0,1,4.604596805609662,12835,5255,1080,0.5852713178294574
2012,Αγαθονησίου,Αγαθονησίου,Δωδεκανήσου,1,0,3.571428571428571,140,4,8,0.4794520547945205
2013,Αγαθονησίου,Αγαθονησίου,Δωδεκανήσου,1,0,4.6875,128,15,20,0.43537414965986393
2015,Αγαθονησίου,Αγαθονησίου,Δωδεκανήσου,1,0,3.278688524590164,122,15,29,0.42214532871972316
2016,Αγαθονησίου,Αγαθονησίου,Δωδεκανήσου,1,1,5,120,17,15,0.4332129963898917
2012,Αγκιστρίου,Αγκιστρίου,Α' Πειραιώς,0,0,18.8385269121813,706,52,74,0.6969397828232972
2013,Αγκιστρίου,Αγκιστρίου,Α' Πειραιώς,0,0,11.304347826086957,690,104,83,0.6811451135241856
2015,Αγκιστρίου,Αγκιστρίου,Α' Πειραιώς,0,0,6.129032258064516,310,60,26,0.5783582089552238
2016,Αγκιστρίου,Αγκιστρίου,Α' Πειραιώς,0,1,9.98185117967332,551,169,54,0.5323671497584541
2012,Αλοννήσου,Αλοννήσου,Μαγνησίας,0,0,4.162330905306972,961,119,119,0.5662934590453742
2013,Αλοννήσου,Αλοννήσου,Μαγνησίας,0,0,4.585365853658536,1025,236,133,0.5890804597701149
2015,Αλοννήσου,Αλοννήσου,Μαγνησίας,0,0,5.72737686139748,873,338,41,0.509929906542056
2016,Αλοννήσου,Αλοννήσου,Μαγνησίας,0,1,5.9760956175298805,753,315,47,0.43500866551126516
2012,Αμαρίου,Κουρητών,Ρεθύμνης,0,0,2.1348045094746944,4169,491,1094,0.6429673041332511
2013,Αμαρίου,Κουρητών,Ρεθύμνης,0,0,3.074634267294818,4033,956,1091,0.6208435960591133
2015,Αμαρίου,Κουρητών,Ρεθύμνης,0,0,2.376868414604264,4081,1441,321,0.6266891891891891
2016,Αμαρίου,Κουρητών,Ρεθύμνης,0,1,3.4011783610069632,3734,1259,448,0.5802641802641803
2012,Αμοργού,Αμοργού,Κυκλάδων,0,0,4.732690622261174,1141,183,139,0.5316868592730661
2013,Αμοργού,Αμοργού,Κυκλάδων,0,0,3.9792387543252596,1156,242,148,0.53592953175707
2015,Αμοργού,Αμοργού,Κυκλάδων,0,0,5.515832482124617,979,287,52,0.45387111729253593
